Augusta, Maine           	1953	4552	3808	2199	4285	2929	369	746	1999	1719	8222	3669	1712	1440	1957	2221	1430	2424	0	816	253	1203	1840	2216	1967	3266	2227	4122	188	613	3200	373	1212	2405	1192	2549	4137	737	308	1500	2416	1700	2905	3436	223	992	4058	1191	1579	2861
Annapolis, Maryland      	1147	4584	3228	1482	3858	2440	448	86	1183	913	7812	3327	1132	833	1478	1654	731	1635	816	0	587	794	1520	1440	1359	2992	1729	3697	628	204	2619	469	402	2217	568	1897	3850	147	534	685	2060	957	2164	3006	672	179	3818	450	1171	2409
Boston, Massachusetts    	1734	4641	3695	2025	4228	2844	145	510	1763	1499	8180	3638	1582	1295	1865	2103	1255	2217	253	587	0	1108	1796	2016	1832	3254	2133	4065	117	383	3085	230	973	2412	1033	2403	4127	535	56	1265	2370	1513	2724	3374	258	757	4062	996	1501	2788
Lansing, Michigan        	1163	3813	2605	1115	3124	1736	982	854	1365	997	7080	2556	537	353	758	1021	505	1485	1203	794	1108	0	728	1260	793	2203	1027	2961	1057	861	1998	879	925	1424	334	1377	3067	694	1083	1017	1283	755	1815	2269	979	833	3027	546	395	1680
Saint Paul, Minnesota    	1518	3148	2067	1137	2444	1134	1683	1582	1786	1449	6387	1842	640	808	375	691	1015	1620	1840	1520	1796	728	0	1426	713	1476	544	2281	1726	1586	1498	1566	1590	724	995	1117	2342	1422	1779	1594	576	1111	1682	1597	1622	1541	2299	1200	362	1039
Jackson, Mississippi     	369	4376	2041	333	2900	1560	1871	1525	600	565	6715	2588	831	907	1074	896	813	225	2216	1440	2016	1260	1426	0	718	2440	1105	2759	2031	1636	1497	1844	1131	2035	1067	761	3148	1483	1966	873	1601	530	752	2144	2025	1297	3206	1025	1198	1625
Jefferson City, Missouri 	873	3715	1872	426	2534	1109	1691	1442	1157	880	6470	2083	256	537	356	307	639	907	1967	1359	1832	793	713	718	0	1845	457	2378	1804	1506	1261	1615	1239	1329	805	585	2636	1327	1795	1120	935	547	1054	1700	1748	1293	2655	918	553	1112
Helana, Montana          	2697	1982	1461	2110	1180	951	3149	3056	2982	2726	4974	468	1957	2218	1567	1570	2402	2538	3266	2992	3254	2203	1476	2440	1845	0	1388	1038	3174	3062	1315	3027	3013	876	2446	1727	872	2898	3242	2951	943	2389	2193	649	3057	2997	827	2636	1821	837
Lincoln, Nebraska        	1318	3277	1588	775	2129	714	2001	1806	1603	1337	6083	1636	606	899	269	213	1053	1254	2227	1729	2133	1027	544	1105	457	1388	0	1969	2085	1849	991	1904	1667	946	1160	597	2185	1670	2104	1572	496	1003	1176	1279	2004	1692	2198	1316	653	682
Carson City, Nevada      	3094	2372	935	2476	163	1268	3943	3774	3357	3198	4119	575	2572	2868	2221	2070	3011	2771	4122	3697	4065	2961	2281	2759	2378	1038	1969	0	4002	3810	1276	3835	3617	1850	3129	2001	696	3633	4043	3477	1706	2905	2233	692	3902	3658	912	3282	2566	1288
